Compilation	Reference	Reference DOI	Locality	Glacier	Region	Latitude	Longitude	Elevation (m)	Type	Methodology	Area (km2)	Time interval (yr)	Sediment flux (km3/yr)	Exhumation (m)	Exhumation min (m)	Exhumation max (m)	Erosion rate (mm/yr)	Erosion rate min	Erosion rate max	Comments
This study	Conway et al., 2018	10.1016/j.geomorph.2018.05.019	Jaisalmer	unnamed	Mars	33.47000	84.15000		Martian	Relief	1.96000E+02	5.00000E+05		90.390	37.940	135.260	1.80770E-01	7.58800E-02	0.27051	Headwall retreat
This study	Conway et al., 2018	10.1016/j.geomorph.2018.05.019	Crater B	unnamed	Mars	-27.35000	59.13000		Martian	Relief	4.90000E+01	2.15000E+06		107.340	69.220	158.400	4.99200E-02	3.21900E-02	0.07367	Headwall retreat
This study	Conway et al., 2018	10.1016/j.geomorph.2018.05.019	Crater C	unnamed	Mars	36.56000	155.46000		Martian	Relief	8.10000E+01	2.43000E+06		58.110	36.120	125.670	2.39100E-02	1.48600E-02	0.05171	Headwall retreat
This study	Conway et al., 2018	10.1016/j.geomorph.2018.05.019	Talu	unnamed	Mars	-40.30000	20.10000		Martian	Relief	8.10000E+01	1.30000E+07		132.010	74.530	211.570	1.01500E-02	5.73000E-03	0.01627	Headwall retreat
This study	Conway et al., 2018	10.1016/j.geomorph.2018.05.019	Nybyen	unnamed	Mars	-37.03000	343.36000		Martian	Relief	3.60000E+01	1.10000E+08		81.420	37.700	191.320	7.40000E-04	3.40000E-04	0.00174	Headwall retreat. May include substantial non-glacial time
This study	Conway et al., 2018	10.1016/j.geomorph.2018.05.019	Taltal E	unnamed	Mars	-39.50000	234.40000		Martian	Relief	1.00000E+02	2.20000E+08		87.050	22.470	207.900	4.00000E-04	1.10000E-04	0.00095	Headwall retreat. May include substantial non-glacial time
This study	Conway et al., 2018	10.1016/j.geomorph.2018.05.019	Taltal W	unnamed	Mars	-39.51000	234.17000		Martian	Relief	1.00000E+02	2.20000E+08		54.380	41.490	138.520	2.50000E-04	1.90000E-04	0.00063	Headwall retreat. May include substantial non-glacial time
This study	Conway et al., 2018	10.1016/j.geomorph.2018.05.019	Dechu	unnamed	Mars	-42.24000	202.19000		Martian	Relief		3.05000E+08		167.970	46.430	313.250	5.50000E-04	1.50000E-04	0.00103	Headwall retreat. May include substantial non-glacial time
This study	Grau Galofre et al., 2022	10.1029/2022GL097974	Dorsa Argentea formation	Southern Circumpolar Ice Sheet	Mars				Martian	Modelling		1.00000E+03					1.00000E-02	1.00000E-03	1.00000E-01	Based on a scaling of terretrial measurments mostly representing ~millenial timescales. "Considering Equation 3, which describes glacial erosion by sliding, and taking the difference between terrestrial and Martian sliding rates to be a factor of 20 (Figure 3), erosion rates on Mars should be between a factor of 20–400 slower than Earth, for equivalent values of the exponent l and erodibility Kg"
This study	Levy et al., 2016	10.1016/j.icarus.2015.09.037	LVF, LDA, and CCF	temperate Martian glaciers (30-50° lat)	Mars				Martian	Volumetric	1.10000E+06	6.00000E+08					1.00000E-05			Sediment volumes estimated from glacial landform (lineated valley fill (LVF), lobate debris aprons (LDA), and concentric crater fill (CCF)) between ±∼30–50° latitude. This is a minimum rate, assuming erosion is distributed over the 600 Myr of supposed glaciation
This study	Levy et al., 2016	10.1016/j.icarus.2015.09.037	LVF, LDA, and CCF	temperate Martian glaciers (30-50° lat)	Mars				Martian	Volumetric	1.10000E+06	5.00000E+05					1.00000E-02			Sediment volumes estimated from glacial landform (lineated valley fill (LVF), lobate debris aprons (LDA), and concentric crater fill (CCF)) between ±∼30–50° latitude. This is a maximum rate, assuming all erosion occurred in a single 500ka cycle